Ensembl	Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000126803	HSPA2	449.543666398575	2.45501013155167	0.163629406381835	15.0034775890026	6.96712319855266e-51	2.25168712873224e-48
ENSG00000108821	COL1A1	101233.481481555	-1.30892185732801	0.087370492871803	-14.9812804564187	9.73237439945584e-51	3.08119028691344e-48
ENSG00000134686	PHC2	2741.36146833917	1.38358774195601	0.0924433346642142	14.9668739988845	1.20870544513383e-50	3.75012951407223e-48
ENSG00000138316	ADAMTS14	801.69546542358	-2.5111695206	0.169183146903958	-14.8429058482139	7.73322225329496e-50	2.35226425128166e-47
ENSG00000168309	FAM107A	159.749873951273	4.82880761170454	0.327776239585875	14.7320245598199	4.01495052877037e-49	1.19776783755413e-46
ENSG00000102804	TSC22D1	5404.79313508362	1.1974245413546	0.0812882298702048	14.7306017521425	4.10038374138795e-49	1.20017458453116e-46
ENSG00000124440	HIF3A	197.229454662814	2.52599132737787	0.171619305593037	14.7185732901622	4.89886837705904e-49	1.40733602098735e-46
ENSG00000133142	TCEAL4	3059.99655459545	1.53511705940133	0.104777350181677	14.6512300295774	1.32298773604922e-48	3.71282464409091e-46
ENSG00000131389	SLC6A6	742.538013824024	-2.12886700771579	0.145311706692548	-14.6503475609166	1.34028350460318e-48	3.71282464409091e-46
ENSG00000103742	IGDCC4	371.632596951659	-2.2008144735872	0.151072599609645	-14.5679261446077	4.49325340125313e-48	1.22287438620421e-45
ENSG00000103196	CRISPLD2	3085.02220810875	2.62727932182621	0.180569671561488	14.5499479458906	5.84475081379762e-48	1.56326929955935e-45
ENSG00000163171	CDC42EP3	1359.56836224781	1.5016552098646	0.103501321414398	14.5085607540437	1.06940891479335e-47	2.81182042291344e-45
ENSG00000141401	IMPA2	628.209010546647	2.32291672238137	0.160178339192988	14.5020652235797	1.17558915077837e-47	3.03948574933746e-45
ENSG00000112837	TBX18	2762.00197621312	-1.8375741112655	0.128672308979996	-14.2810378226071	2.87290909334861e-46	7.18829657501886e-44
ENSG00000164647	STEAP1	1923.10027992604	1.56342249820501	0.110540152893757	14.1434805116261	2.04894597628322e-45	5.0452855444574e-43
ENSG00000068383	INPP5A	1249.04745116525	1.37709074067097	0.0975041791431614	14.1234022251399	2.72510655585287e-45	6.60540281264776e-43
ENSG00000156675	RAB11FIP1	1633.92737047472	1.54327622652175	0.109765716422158	14.0597290012331	6.71428320870427e-45	1.60244116025584e-42
ENSG00000136999	CCN3	437.126529274733	-2.55644967042526	0.181902841692794	-14.0539292659469	7.28757967832774e-45	1.71291247802876e-42
ENSG00000196517	SLC6A9	230.282462332708	-2.23288456504044	0.159005349787166	-14.04282665979	8.52435697251052e-45	1.97370671215755e-42
ENSG00000134363	FST	2914.45703711454	-1.81156893070046	0.131690949145218	-13.7562143978688	4.67366363901423e-43	1.0418743864731e-40
ENSG00000167641	PPP1R14A	231.914731887227	2.8922417070679	0.210256343609497	13.7557880890366	4.70129614214638e-43	1.0418743864731e-40
ENSG00000206538	VGLL3	12772.7450199588	1.36224407943607	0.099184037366052	13.734509257861	6.30820439437946e-43	1.3782982361973e-40
ENSG00000109906	ZBTB16	385.200712986974	7.34868674355143	0.536967318645684	13.68553818524	1.2388647463589e-42	2.66923733475911e-40
ENSG00000126016	AMOT	387.362413083543	-2.37805349915696	0.174040058784629	-13.6638284068827	1.6696947463432e-42	3.54821569863316e-40
ENSG00000106484	MEST	679.306459411187	-1.86767741404982	0.136978782773626	-13.6347934784643	2.48693878910589e-42	5.21349749127022e-40
ENSG00000149218	ENDOD1	2029.52505076662	1.92241371101792	0.141140317685341	13.6205851208565	3.02137282937406e-42	6.2494075602773e-40
ENSG00000124762	CDKN1A	8037.26092886987	-1.01195392423636	0.0743426152927955	-13.6120301962854	3.396751303569e-42	6.93339512792973e-40
ENSG00000130513	GDF15	452.075618195456	-1.87241054261138	0.137811221174588	-13.5867785413445	4.79735251287982e-42	9.54119609388521e-40
ENSG00000150907	FOXO1	679.486019317388	2.22385827099248	0.164369651857336	13.5296159957963	1.04568440530681e-41	2.05338002272462e-39
ENSG00000151726	ACSL1	1461.87891976964	1.59850937124052	0.11887389791275	13.4471015025836	3.20178573613079e-41	6.17245118949019e-39
ENSG00000163378	EOGT	1807.67571666714	1.25786628741599	0.0935451974247202	13.4466153479258	3.22290044703607e-41	6.17245118949019e-39
