	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
TJP2	12.4626	13.7849	13.2253	14.5645	12.5847	14.0981	12.5334	14.295
TEX2	12.3197	13.2166	12.8104	13.7509	12.5348	13.8263	12.8563	13.8102
GXYLT2	11.8906	9.9422	12.1642	10.0505	11.6403	9.7091	11.7278	9.6721
LAMA2	14.1673	16.178	14.773	15.8848	13.8399	15.3193	14.6814	16.4269
PLXNA4	8.9615	10.764	8.6949	10.5516	10.442	13.3607	8.0311	10.6493
COL11A1	7.5533	9.4106	9.7206	11.2359	7.7083	10.0406	8.3988	10.5992
TIMP4	6.7171	9.6104	6.7234	8.9559	7.5726	10.0921	6.8659	9.17
KCNK6	8.1312	9.9024	9.1994	11.1195	8.8404	11.8546	8.7505	11.042
SUN2	11.7945	13.4039	11.7931	12.9992	11.0279	12.2718	11.6709	13.2637
LHFPL2	13.5372	11.9016	13.0975	11.2849	13.0078	11.5402	13.0688	11.2565
HSPA2	7.8912	9.9681	9.1101	10.5958	9.4504	12.1026	7.8702	9.6228
COL1A1	18.8507	17.2437	18.8215	16.9139	18.903	17.4786	18.8226	16.767
PHC2	12.2675	13.25	12.3576	13.1624	12.3531	13.3533	12.1509	13.1403
ADAMTS14	12.0995	9.2718	12.1277	8.6311	12.3612	10.211	11.8174	8.4508
FAM107A	5.4065	9.6747	6.7234	10.558	2.4428	6.9901	4.0497	8.7929
TSC22D1	13.0843	14.0692	13.6648	14.1756	13.5187	14.4567	13.2682	13.8664
HIF3A	7.1453	9.2152	7.7446	9.7374	6.511	8.6671	8.3231	10.3239
TCEAL4	12.1264	13.3412	12.48	13.6497	12.4075	13.5196	12.2585	13.1429
SLC6A6	11.8969	9.3395	12.4286	9.6077	11.6703	9.7609	11.7292	8.7323
IGDCC4	11.0818	8.6479	9.9133	7.054	11.7711	9.5265	10.29	7.2184
CRISPLD2	11.3335	14.0649	11.7457	13.7786	11.2168	12.8144	11.2805	13.6515
CDC42EP3	10.6637	11.8327	11.7979	12.68	11.0334	12.095	11.0154	12.1509
IMPA2	9.3817	10.7689	9.7989	11.5773	9.1368	11.5055	9.2448	11.2086
TBX18	13.7714	11.6803	13.6308	11.1021	13.8818	12.158	13.8248	11.0545
STEAP1	11.5636	12.7764	11.6394	12.7668	11.4139	12.8492	11.925	12.6423
INPP5A	10.8037	11.7278	11.4522	12.3657	10.5568	11.6746	11.5416	12.3254
RAB11FIP1	10.5727	11.6959	11.9146	12.5845	11.7689	13.1883	11.0463	12.2442
CCN3	10.991	7.6788	11.5545	8.6552	10.4025	8.1105	11.7583	8.2917
SLC6A9	10.1834	7.6146	10.3273	7.2246	10.1939	7.907	10.4265	7.7026
FST	13.324	10.9704	14.4612	11.7647	13.9044	12.3043	13.4921	11.1328
PPP1R14A	6.6711	9.3527	8.544	10.2215	7.5522	10.6597	6.7318	9.057
VGLL3	14.2708	15.4379	15.0525	15.5112	14.0176	15.1985	14.6248	15.5081
ZBTB16	3.9979	11.1031	4.1258	10.486	2.4428	10.1221	5.465	11.3133
AMOT	11.4506	9.2578	10.5042	7.2876	11.2054	8.271	10.8445	7.9086
MEST	11.244	9.0711	12.7562	10.5452	11.3531	8.8871	11.0178	8.6444
ENDOD1	11.0439	12.3132	11.7641	13.0375	11.2521	13.4445	11.5078	12.6949
CDKN1A	15.5552	14.2188	14.8613	13.1635	15.1208	13.8622	14.7609	13.2475
GDF15	11.5824	9.2648	10.5416	8.0206	11.2345	9.4338	11.1875	8.577
FOXO1	9.6952	11.5201	9.4136	11.3117	9.3354	10.741	9.7971	11.7832
ACSL1	11.0371	12.2495	11.0597	12.3335	11.2835	12.3605	11.4305	12.5045
EOGT	11.4574	12.4235	11.8665	12.5544	11.9361	13.0284	11.7712	12.2936
